date,symbole,interval,rv,bv,part_saut
2026-06-02,BNP.PA,5m,0.0001744478471,0.0001507814228,0.1357
2026-06-02,BTCUSDT,5m,0.0008393108567,0.000921639748,0
2026-06-02,BZ=F,5m,0.0007133679596,0.0007647495815,0
2026-06-02,CC=F,5m,0.0009998663772,0.000982253917,0.0176
2026-06-02,CL=F,5m,0.0008432782801,0.0008259200233,0.0206
2026-06-02,COST,5m,9.846768925e-05,9.572136439e-05,0.0279
2026-06-02,ETHUSDT,5m,0.001328814563,0.001389178348,0
2026-06-02,EURUSD=X,5m,4.878970225e-06,4.045063085e-06,0.1709
2026-06-02,GBPUSD=X,5m,5.766218969e-06,5.812010908e-06,0
2026-06-02,GC=F,5m,9.593142438e-05,9.24404061e-05,0.0364
2026-06-02,GOOGL,5m,0.0002745742434,0.0002670003103,0.0276
2026-06-02,HG=F,5m,0.0001711424005,0.0001333649979,0.2207
2026-06-02,JPM,5m,0.0001291574655,0.0001393278327,0
2026-06-02,KC=F,5m,0.0001369769016,0.0001198429208,0.1251
2026-06-02,KO,5m,5.296855968e-05,4.621020338e-05,0.1276
2026-06-02,MC.PA,5m,0.0001600858566,0.0001467727813,0.0832
2026-06-02,META,5m,0.0002043153309,0.0001743851563,0.1465
2026-06-02,MSFT,5m,0.0001674722663,0.0001290317949,0.2295
2026-06-02,NG=F,5m,0.0007470344313,0.0007275962135,0.026
2026-06-02,NVDA,5m,0.0005070943136,0.0004224714749,0.1669
2026-06-02,NZDUSD=X,5m,1.702735553e-05,1.59422342e-05,0.0637
2026-06-02,PG,5m,8.615909667e-05,6.89958091e-05,0.1992
2026-06-02,SAN.PA,5m,0.0001266828092,0.0001285174448,0
2026-06-02,SAP.DE,5m,0.0004981250652,0.0005332183089,0
2026-06-02,SI=F,5m,0.0007146408096,0.0005603740923,0.2159
2026-06-02,SIE.DE,5m,0.0001382411813,0.0001462582585,0
2026-06-02,SOLUSDT,5m,0.001770092104,0.001798188235,0
2026-06-02,TSLA,5m,0.0003906085033,0.000417151568,0
2026-06-02,TTE.PA,5m,0.0001044620232,8.917825921e-05,0.1463
2026-06-02,UNH,5m,0.0001123037133,0.0001021944245,0.09
2026-06-02,USDCAD=X,5m,9.125995825e-06,9.889536138e-06,0
2026-06-02,USDCHF=X,5m,1.089026268e-05,1.044099793e-05,0.0413
2026-06-02,USDJPY=X,5m,2.19728782e-06,2.044953755e-06,0.0693
2026-06-02,V,5m,0.0003205966733,0.0002769055885,0.1363
2026-06-02,XOM,5m,0.0001019714691,8.414251373e-05,0.1748
2026-06-02,XRPUSDT,5m,0.001413463775,0.00156848023,0
2026-06-02,ZW=F,5m,0.000124691354,0.0001212543062,0.0276
2026-06-02,^FCHI,5m,3.589355271e-05,2.991054015e-05,0.1667
2026-06-02,^GDAXI,5m,3.612938865e-05,3.471829723e-05,0.0391
2026-06-02,^GSPC,5m,7.910279347e-06,7.171561266e-06,0.0934
2026-06-02,^HSI,5m,9.049150229e-05,9.64015929e-05,0
2026-06-02,^KS11,5m,0.004244357364,0.004077112193,0.0394
2026-06-02,^N225,5m,0.0001214759732,0.0001063228288,0.1247
2026-06-02,^NDX,5m,2.539964725e-05,1.93636307e-05,0.2376
2026-06-02,^STOXX50E,5m,3.286265652e-05,3.456798178e-05,0
2026-06-03,0700.HK,5m,0.0007926203808,0.0005691223714,0.282
2026-06-03,2330.TW,5m,0.0001488034332,0.0001335713944,0.1024
2026-06-03,6758.T,5m,0.0003740453987,0.0001788678516,0.5218
2026-06-03,7203.T,5m,0.0001221327791,0.0001066254942,0.127
2026-06-03,9984.T,5m,0.001584516224,0.001288405991,0.1869
2026-06-03,9988.HK,5m,0.0004384458182,0.0003880395767,0.115
2026-06-03,AAPL,5m,0.0001208641178,0.0001243436977,0
2026-06-03,AIR.PA,5m,0.0001662894106,0.0001594948702,0.0409
2026-06-03,AMZN,5m,0.0001623258947,0.0001497426689,0.0775
2026-06-03,ASML.AS,5m,0.0006847689933,0.0006511386693,0.0491
2026-06-03,AUDUSD=X,5m,1.987916397e-05,1.843659177e-05,0.0726
2026-06-03,BNBUSDT,5m,0.001367422474,0.001347430624,0.0146
2026-06-03,BNP.PA,5m,0.0001414149087,0.0001197914489,0.1529
2026-06-03,BTCUSDT,5m,0.001118766048,0.001002648224,0.1038
2026-06-03,BZ=F,5m,0.000613128274,0.0005537865274,0.0968
2026-06-03,CC=F,5m,0.0008243027941,0.0008354640098,0
2026-06-03,CL=F,5m,0.0008065323964,0.0007322370818,0.0921
2026-06-03,COST,5m,0.0001054214497,0.0001086027803,0
2026-06-03,ETHUSDT,5m,0.001783463651,0.001675659225,0.0604
2026-06-03,EURUSD=X,5m,8.264906303e-06,7.688261065e-06,0.0698
2026-06-03,GBPUSD=X,5m,9.317915137e-06,9.928170206e-06,0
2026-06-03,GC=F,5m,0.0001801929638,0.0001635373704,0.0924
2026-06-03,GOOGL,5m,0.0003021190385,0.000290242699,0.0393
2026-06-03,HG=F,5m,0.0002630686808,0.000217453231,0.1734
2026-06-03,JPM,5m,0.0001094276086,9.132562006e-05,0.1654
2026-06-03,KC=F,5m,0.0002775506142,0.0002701870247,0.0265
2026-06-03,KO,5m,5.531763016e-05,5.355587913e-05,0.0318
2026-06-03,MC.PA,5m,0.0001842485492,0.0001462165423,0.2064
2026-06-03,META,5m,0.0003938874015,0.0003760945712,0.0452
2026-06-03,MSFT,5m,0.0001568301664,0.000144705357,0.0773
2026-06-03,NG=F,5m,0.0007513364617,0.0005921165533,0.2119
2026-06-03,NVDA,5m,0.0002202845914,0.0002112558543,0.041
2026-06-03,NZDUSD=X,5m,2.642286615e-05,2.283762318e-05,0.1357
2026-06-03,PG,5m,0.0001029962106,9.986050112e-05,0.0304
2026-06-03,SAN.PA,5m,7.602805569e-05,7.954829813e-05,0
2026-06-03,SAP.DE,5m,0.0004069178769,0.0004077426552,0
2026-06-03,SI=F,5m,0.0007316345114,0.0006189026732,0.1541
2026-06-03,SIE.DE,5m,0.0001365757912,0.0001386728716,0
2026-06-03,SOLUSDT,5m,0.002201217502,0.002088345113,0.0513
2026-06-03,TSLA,5m,0.0004374128931,0.0003696090198,0.155
2026-06-03,TTE.PA,5m,0.0001336715229,0.0001232283998,0.0781
2026-06-03,UNH,5m,0.0002749146825,0.0002291742985,0.1664
2026-06-03,USDCAD=X,5m,9.617497127e-06,9.349786266e-06,0.0278
2026-06-03,USDCHF=X,5m,2.198163884e-05,2.17500279e-05,0.0105
2026-06-03,USDJPY=X,5m,6.418932396e-06,5.267321908e-06,0.1794
2026-06-03,V,5m,8.356030477e-05,9.480060143e-05,0
2026-06-03,XOM,5m,0.0002224482055,0.0001919086084,0.1373
2026-06-03,XRPUSDT,5m,0.001544331558,0.00141994928,0.0805
2026-06-03,ZW=F,5m,0.0002209693953,0.0002007895408,0.0913
2026-06-03,^FCHI,5m,3.539376071e-05,3.568109579e-05,0
2026-06-03,^GDAXI,5m,4.538313986e-05,4.225272831e-05,0.069
2026-06-03,^GSPC,5m,2.229846996e-05,2.269365296e-05,0
2026-06-03,^HSI,5m,4.261069623e-05,3.357883692e-05,0.212
2026-06-03,^N225,5m,7.508448048e-05,7.788833721e-05,0
2026-06-03,^NDX,5m,6.340505136e-05,6.318720164e-05,0.0034
2026-06-03,^STOXX50E,5m,4.460691261e-05,3.75598514e-05,0.158
2026-06-04,005930.KS,5m,0.001355701909,0.001329351047,0.0194
2026-06-04,0700.HK,5m,0.0003223989588,0.0002833043149,0.1213
